Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
"Avocados: U.S. imports by value ($1,000)","Avocados: U.S. imports by volume (1,000 pounds)",Avocados: U.S. imports unit value ($ per pound),Avocados: U.S. import sources by value,Avocados: U.S. import sources by volume,"Avocados: U.S. exports by value ($1,000) ","Avocados: U.S. exports by volume (1,000 pounds)",Avocados: U.S. exports by unit value ($ per pound),Avocados: U.S. export destinations by value,Avocados: U.S. export destinations by volume

Textbox119,Textbox131,Textbox21,qq3,Textbox23,Textbox124,gen val mo_label,gen val mo_Chart4_CategoryGroup_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_label,gen val mo_Chart4_CategoryGroup_Chart4_CategoryGroup1_Value_Y,stat_year3,gen_qty_mo8,gen_qty_mo9,gen_qty_yr3
,Prepared or preserved ,Market year*,Quarter 3,Jul,Q3,,,,,2011,"7,870","26,373","114,102"
,Prepared or preserved ,Market year*,Quarter 3,Aug,Q3,,,,,2011,"9,353","26,373","114,102"
,Prepared or preserved ,Market year*,Quarter 3,Sep,Q3,,,,,2011,"9,150","26,373","114,102"
,Prepared or preserved ,Market year*,Quarter 4,Oct,Q4,,,,,2011,"11,336","32,723","114,102"
,Prepared or preserved ,Market year*,Quarter 4,Nov,Q4,,,,,2011,"11,167","32,723","114,102"
,Prepared or preserved ,Market year*,Quarter 4,Dec,Q4,,,,,2011,"10,220","32,723","114,102"
,Prepared or preserved ,Market year*,Quarter 1,Jan,Q1,,,,,2010,"8,339","22,944","94,708"
,Prepared or preserved ,Market year*,Quarter 1,Feb,Q1,,,,,2010,"6,327","22,944","94,708"
,Prepared or preserved ,Market year*,Quarter 1,Mar,Q1,,,,,2010,"8,279","22,944","94,708"
,Prepared or preserved ,Market year*,Quarter 2,Apr,Q2,,,,,2010,"7,029","21,705","94,708"
,Prepared or preserved ,Market year*,Quarter 2,May,Q2,,,,,2010,"6,601","21,705","94,708"
,Prepared or preserved ,Market year*,Quarter 2,Jun,Q2,,,,,2010,"8,075","21,705","94,708"
,Prepared or preserved ,Market year*,Quarter 3,Jul,Q3,,,,,2010,"7,791","23,480","94,708"
,Prepared or preserved ,Market year*,Quarter 3,Aug,Q3,,,,,2010,"8,134","23,480","94,708"
,Prepared or preserved ,Market year*,Quarter 3,Sep,Q3,,,,,2010,"7,554","23,480","94,708"
,Prepared or preserved ,Market year*,Quarter 4,Oct,Q4,,,,,2010,"7,941","26,579","94,708"
,Prepared or preserved ,Market year*,Quarter 4,Nov,Q4,,,,,2010,"8,937","26,579","94,708"
,Prepared or preserved ,Market year*,Quarter 4,Dec,Q4,,,,,2010,"9,700","26,579","94,708"
,Prepared or preserved ,Market year*,Quarter 1,Jan,Q1,,,,,2009,"9,905","25,591","91,119"
,Prepared or preserved ,Market year*,Quarter 1,Feb,Q1,,,,,2009,"7,607","25,591","91,119"
,Prepared or preserved ,Market year*,Quarter 1,Mar,Q1,,,,,2009,"8,079","25,591","91,119"
,Prepared or preserved ,Market year*,Quarter 2,Apr,Q2,,,,,2009,"7,816","21,081","91,119"
,Prepared or preserved ,Market year*,Quarter 2,May,Q2,,,,,2009,"6,489","21,081","91,119"
,Prepared or preserved ,Market year*,Quarter 2,Jun,Q2,,,,,2009,"6,776","21,081","91,119"
,Prepared or preserved ,Market year*,Quarter 3,Jul,Q3,,,,,2009,"7,094","20,801","91,119"
,Prepared or preserved ,Market year*,Quarter 3,Aug,Q3,,,,,2009,"7,242","20,801","91,119"
,Prepared or preserved ,Market year*,Quarter 3,Sep,Q3,,,,,2009,"6,464","20,801","91,119"
,Prepared or preserved ,Market year*,Quarter 4,Oct,Q4,,,,,2009,"7,797","23,646","91,119"
,Prepared or preserved ,Market year*,Quarter 4,Nov,Q4,,,,,2009,"7,540","23,646","91,119"
,Prepared or preserved ,Market year*,Quarter 4,Dec,Q4,,,,,2009,"8,310","23,646","91,119"

Textbox122,Textbox134,Textbox31,qq6,Textbox34,Textbox127,gen qty mo_label,gen qty mo_Chart7_CategoryGroup_label,gen qty mo_Chart7_CategoryGroup_Chart7_CategoryGroup1_label,gen qty mo_Chart7_CategoryGroup_Chart7_CategoryGroup1_Value_Y,stat_year6,gen_qty_mo14,gen_qty_mo15,gen_qty_yr6
,,,,,,gen qty mo,2009,,0.679251691150802,,,,
,,,,,,gen qty mo,2009,,0.681153314852629,,,,
,,,,,,gen qty mo,2009,,0.768679424778176,,,,
,,,,,,gen qty mo,2009,,0.936557766910707,,,,
,,,,,,gen qty mo,2009,,0.985471875421341,,,,
,,,,,,gen qty mo,2009,,1.10039251577579,,,,
,,,,,,gen qty mo,2009,,1.04386156141351,,,,
,,,,,,gen qty mo,2009,,0.786093130626152,,,,
,,,,,,gen qty mo,2009,,0.685939717289657,,,,
,,,,,,gen qty mo,2009,,0.62567099238072,,,,
,,,,,,gen qty mo,2009,,0.552247784598555,,,,
,,,,,,gen qty mo,2009,,0.549561239394602,,,,
,,,,,,gen qty mo,2010,,0.596518310640048,,,,
,,,,,,gen qty mo,2010,,0.593375618872503,,,,
,,,,,,gen qty mo,2010,,0.733462521295378,,,,
,,,,,,gen qty mo,2010,,0.852581781593874,,,,
,,,,,,gen qty mo,2010,,0.901675176289434,,,,
,,,,,,gen qty mo,2010,,0.932011408922442,,,,
,,,,,,gen qty mo,2010,,0.927832916152782,,,,
,,,,,,gen qty mo,2010,,0.912109185219665,,,,
,,,,,,gen qty mo,2010,,0.923922517771598,,,,
,,,,,,gen qty mo,2010,,0.756128557619072,,,,
,,,,,,gen qty mo,2010,,0.740009822137311,,,,
,,,,,,gen qty mo,2010,,0.739032822840865,,,,
,,,,,,gen qty mo,2011,,0.853316151529079,,,,
,,,,,,gen qty mo,2011,,0.90679099625704,,,,
,,,,,,gen qty mo,2011,,1.21911538421874,,,,
,,,,,,gen qty mo,2011,,1.30136104292397,,,,
,,,,,,gen qty mo,2011,,1.33020776349463,,,,
,,,,,,gen qty mo,2011,,1.50135699043227,,,,
,,,,,,gen qty mo,2011,,1.56702154942209,,,,
,,,,,,gen qty mo,2011,,1.21380149626221,,,,
,,,,,,gen qty mo,2011,,1.00619636804084,,,,
,,,,,,gen qty mo,2011,,0.765711054982475,,,,
,,,,,,gen qty mo,2011,,0.748582744625517,,,,
,,,,,,gen qty mo,2011,,0.710355061871911,,,,
,,,,,,gen qty mo,2012,,0.761670017985673,,,,
,,,,,,gen qty mo,2012,,0.743151434612157,,,,
,,,,,,gen qty mo,2012,,0.847102816758454,,,,
,,,,,,gen qty mo,2012,,0.941234393239949,,,,
,,,,,,gen qty mo,2012,,0.948033248021368,,,,
,,,,,,gen qty mo,2012,,0.915993231866478,,,,
,,,,,,gen qty mo,2012,,0.867661056731768,,,,
,,,,,,gen qty mo,2012,,0.838084931553288,,,,
,,,,,,gen qty mo,2012,,0.738448986422856,,,,
,,,,,,gen qty mo,2012,,0.720508964531792,,,,
,,,,,,gen qty mo,2012,,0.638557469259828,,,,
,,,,,,gen qty mo,2012,,0.61436672668145,,,,
,,,,,,gen qty mo,2013,,0.629963112425512,,,,
,,,,,,gen qty mo,2013,,0.617690003014686,,,,
,,,,,,gen qty mo,2013,,0.808614053220339,,,,
,,,,,,gen qty mo,2013,,0.911454334636167,,,,
,,,,,,gen qty mo,2013,,0.933750288882165,,,,
,,,,,,gen qty mo,2013,,1.06132310494225,,,,
,,,,,,gen qty mo,2013,,1.03726228543582,,,,
,,,,,,gen qty mo,2013,,1.12488987382001,,,,
,,,,,,gen qty mo,2013,,1.16366828337815,,,,
,,,,,,gen qty mo,2013,,0.976154094431272,,,,
,,,,,,gen qty mo,2013,,0.816396613002067,,,,
,,,,,,gen qty mo,2013,,0.786261760818572,,,,
,,,,,,gen qty mo,2014,,0.861955096101293,,,,
,,,,,,gen qty mo,2014,,0.859836592166412,,,,
,,,,,,gen qty mo,2014,,0.951585888020334,,,,
,,,,,,gen qty mo,2014,,1.054549597668,,,,
,,,,,,gen qty mo,2014,,1.09889046627275,,,,
,,,,,,gen qty mo,2014,,1.08888057464831,,,,
,,,,,,gen qty mo,2014,,1.05041212556362,,,,
,,,,,,gen qty mo,2014,,0.996630275873436,,,,
,,,,,,gen qty mo,2014,,1.05672603466973,,,,
,,,,,,gen qty mo,2014,,0.855507558632627,,,,
,,,,,,gen qty mo,2014,,0.822351234162193,,,,
,,,,,,gen qty mo,2014,,0.820866815628056,,,,
,,,,,,gen qty mo,2015,,0.89946986227875,,,,
,,,,,,gen qty mo,2015,,0.90073040712006,,,,
,,,,,,gen qty mo,2015,,0.956652355582627,,,,
,,,,,,gen qty mo,2015,,0.985402324035328,,,,
,,,,,,gen qty mo,2015,,0.941235149675726,,,,
,,,,,,gen qty mo,2015,,0.902440927695477,,,,
,,,,,,gen qty mo,2015,,0.962365663669829,,,,
,,,,,,gen qty mo,2015,,0.821497854530813,,,,
,,,,,,gen qty mo,2015,,0.780630668526915,,,,
,,,,,,gen qty mo,2015,,0.724560963072511,,,,
,,,,,,gen qty mo,2015,,0.751689963429861,,,,
,,,,,,gen qty mo,2015,,0.68728519803741,,,,
,,,,,,gen qty mo,2016,,0.705891379098924,,,,
,,,,,,gen qty mo,2016,,0.666118929898494,,,,
,,,,,,gen qty mo,2016,,0.65999596054076,,,,
,,,,,,gen qty mo,2016,,0.672681466770304,,,,
,,,,,,gen qty mo,2016,,1.0168292160888,,,,
,,,,,,gen qty mo,2016,,1.16960377378623,,,,
,,,,,,gen qty mo,2016,,1.32460707056046,,,,
,,,,,,gen qty mo,2016,,1.25292584714959,,,,
,,,,,,gen qty mo,2016,,1.56010976571298,,,,
,,,,,,gen qty mo,2016,,1.575449842202,,,,
,,,,,,gen qty mo,2016,,1.06106157369623,,,,
,,,,,,gen qty mo,2016,,0.948674896867932,,,,
,,,,,,gen qty mo,2017,,0.967610522081016,,,,
,,,,,,gen qty mo,2017,,1.15487628687659,,,,
,,,,,,gen qty mo,2017,,1.31233213844105,,,,
,,,,,,gen qty mo,2017,,1.43852523084178,,,,
,,,,,,gen qty mo,2017,,1.46743233099278,,,,
,,,,,,gen qty mo,2017,,1.33856904128532,,,,
,,,,,,gen qty mo,2017,,1.29241549524147,,,,
,,,,,,gen qty mo,2017,,1.82856935144814,,,,
,,,,,,gen qty mo,2017,,2.04094076420505,,,,
,,,,,,gen qty mo,2017,,1.25240174648261,,,,
,,,,,,gen qty mo,2017,,1.00495063444702,,,,
,,,,,,gen qty mo,2017,,1.13077758374614,,,,
,,,,,,gen qty mo,2018,,0.971385174122658,,,,
,,,,,,gen qty mo,2018,,0.987971836560487,,,,
,,,,,,gen qty mo,2018,,1.02026982936625,,,,
,,,,,,gen qty mo,2018,,1.13237105912786,,,,
,,,,,,gen qty mo,2018,,1.04472759236969,,,,
,,,,,,gen qty mo,2018,,1.0050900868166,,,,
,,,,,,gen qty mo,2018,,1.0629094637866,,,,
,,,,,,gen qty mo,2018,,1.32134024269898,,,,
,,,,,,gen qty mo,2018,,1.07358574808108,,,,
,,,,,,gen qty mo,2018,,0.920940861495987,,,,
,,,,,,gen qty mo,2018,,1.01079682230247,,,,
,,,,,,gen qty mo,2018,,0.78411791337314,,,,
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2018,0.97,0.99,1.03
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2018,0.99,0.99,1.03
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2018,1.02,0.99,1.03
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2018,1.13,1.06,1.03
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2018,1.04,1.06,1.03
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2018,1.01,1.06,1.03
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2018,1.06,1.16,1.03
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2018,1.32,1.16,1.03
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2018,1.07,1.16,1.03
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2018,0.92,0.90,1.03
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2018,1.01,0.90,1.03
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2018,0.78,0.90,1.03
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2017,0.97,1.13,1.33
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2017,1.15,1.13,1.33
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2017,1.31,1.13,1.33
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2017,1.44,1.41,1.33
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2017,1.47,1.41,1.33
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2017,1.34,1.41,1.33
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2017,1.29,1.73,1.33
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2017,1.83,1.73,1.33
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2017,2.04,1.73,1.33
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2017,1.25,1.13,1.33
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2017,1.00,1.13,1.33
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2017,1.13,1.13,1.33
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2016,0.71,0.68,1.01
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2016,0.67,0.68,1.01
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2016,0.66,0.68,1.01
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2016,0.67,0.90,1.01
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2016,1.02,0.90,1.01
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2016,1.17,0.90,1.01
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2016,1.32,1.39,1.01
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2016,1.25,1.39,1.01
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2016,1.56,1.39,1.01
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2016,1.58,1.18,1.01
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2016,1.06,1.18,1.01
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2016,0.95,1.18,1.01
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2015,0.90,0.92,0.85
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2015,0.90,0.92,0.85
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2015,0.96,0.92,0.85
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2015,0.99,0.94,0.85
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2015,0.94,0.94,0.85
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2015,0.90,0.94,0.85
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2015,0.96,0.85,0.85
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2015,0.82,0.85,0.85
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2015,0.78,0.85,0.85
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2015,0.72,0.72,0.85
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2015,0.75,0.72,0.85
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2015,0.69,0.72,0.85
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2014,0.86,0.89,0.95
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2014,0.86,0.89,0.95
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2014,0.95,0.89,0.95
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2014,1.05,1.08,0.95
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2014,1.10,1.08,0.95
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2014,1.09,1.08,0.95
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2014,1.05,1.04,0.95
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2014,1.00,1.04,0.95
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2014,1.06,1.04,0.95
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2014,0.86,0.83,0.95
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2014,0.82,0.83,0.95
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2014,0.82,0.83,0.95
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2013,0.63,0.68,0.86
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2013,0.62,0.68,0.86
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2013,0.81,0.68,0.86
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2013,0.91,0.96,0.86
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2013,0.93,0.96,0.86
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2013,1.06,0.96,0.86
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2013,1.04,1.11,0.86
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2013,1.12,1.11,0.86
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2013,1.16,1.11,0.86
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2013,0.98,0.86,0.86
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2013,0.82,0.86,0.86
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2013,0.79,0.86,0.86
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2012,0.76,0.78,0.78
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2012,0.74,0.78,0.78
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2012,0.85,0.78,0.78
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2012,0.94,0.94,0.78
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2012,0.95,0.94,0.78
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2012,0.92,0.94,0.78
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2012,0.87,0.81,0.78
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2012,0.84,0.81,0.78
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2012,0.74,0.81,0.78
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2012,0.72,0.66,0.78
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2012,0.64,0.66,0.78
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2012,0.61,0.66,0.78
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2011,0.85,0.97,1.00
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2011,0.91,0.97,1.00
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2011,1.22,0.97,1.00
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2011,1.30,1.36,1.00
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2011,1.33,1.36,1.00
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2011,1.50,1.36,1.00
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2011,1.57,1.15,1.00
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2011,1.21,1.15,1.00
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2011,1.01,1.15,1.00
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2011,0.77,0.74,1.00
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2011,0.75,0.74,1.00
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2011,0.71,0.74,1.00
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2010,0.60,0.64,0.76
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2010,0.59,0.64,0.76
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2010,0.73,0.64,0.76
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2010,0.85,0.89,0.76
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2010,0.90,0.89,0.76
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2010,0.93,0.89,0.76
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2010,0.93,0.92,0.76
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2010,0.91,0.92,0.76
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2010,0.92,0.92,0.76
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2010,0.76,0.74,0.76
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2010,0.74,0.74,0.76
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2010,0.74,0.74,0.76
,Fresh¹,Market year*,Quarter 1,Jan,Q1,,,,,2009,0.68,0.71,0.75
,Fresh¹,Market year*,Quarter 1,Feb,Q1,,,,,2009,0.68,0.71,0.75
,Fresh¹,Market year*,Quarter 1,Mar,Q1,,,,,2009,0.77,0.71,0.75
,Fresh¹,Market year*,Quarter 2,Apr,Q2,,,,,2009,0.94,1.00,0.75
,Fresh¹,Market year*,Quarter 2,May,Q2,,,,,2009,0.99,1.00,0.75
,Fresh¹,Market year*,Quarter 2,Jun,Q2,,,,,2009,1.10,1.00,0.75
,Fresh¹,Market year*,Quarter 3,Jul,Q3,,,,,2009,1.04,0.80,0.75
,Fresh¹,Market year*,Quarter 3,Aug,Q3,,,,,2009,0.79,0.80,0.75
,Fresh¹,Market year*,Quarter 3,Sep,Q3,,,,,2009,0.69,0.80,0.75
,Fresh¹,Market year*,Quarter 4,Oct,Q4,,,,,2009,0.63,0.58,0.75
,Fresh¹,Market year*,Quarter 4,Nov,Q4,,,,,2009,0.55,0.58,0.75
,Fresh¹,Market year*,Quarter 4,Dec,Q4,,,,,2009,0.55,0.58,0.75
,,,,,,gen qty mo,2009,,0.791430837720373,,,,
,,,,,,gen qty mo,2009,,0.817245692697824,,,,
,,,,,,gen qty mo,2009,,0.841057946959153,,,,
,,,,,,gen qty mo,2009,,0.86634604078196,,,,
,,,,,,gen qty mo,2009,,0.84646128575678,,,,
,,,,,,gen qty mo,2009,,0.890130638616531,,,,
,,,,,,gen qty mo,2009,,0.917584486999223,,,,
,,,,,,gen qty mo,2009,,0.896183649940016,,,,
,,,,,,gen qty mo,2009,,0.879493794411001,,,,
,,,,,,gen qty mo,2009,,0.988897798333173,,,,
,,,,,,gen qty mo,2009,,0.925634550967449,,,,
,,,,,,gen qty mo,2009,,0.924643110976272,,,,
,,,,,,gen qty mo,2010,,0.893321975776539,,,,
,,,,,,gen qty mo,2010,,0.932874592196077,,,,
,,,,,,gen qty mo,2010,,0.923394786589129,,,,
,,,,,,gen qty mo,2010,,1.00866111183143,,,,
,,,,,,gen qty mo,2010,,1.1504950985379,,,,
,,,,,,gen qty mo,2010,,1.18086050309904,,,,
,,,,,,gen qty mo,2010,,1.16771933940754,,,,
,,,,,,gen qty mo,2010,,1.17391392397786,,,,
,,,,,,gen qty mo,2010,,1.12712916590012,,,,
,,,,,,gen qty mo,2010,,1.16834334227581,,,,
,,,,,,gen qty mo,2010,,1.1684425603677,,,,
,,,,,,gen qty mo,2010,,1.11278558444165,,,,
,,,,,,gen qty mo,2011,,1.17263096832307,,,,
,,,,,,gen qty mo,2011,,1.37021708786842,,,,
,,,,,,gen qty mo,2011,,1.19592623238249,,,,
,,,,,,gen qty mo,2011,,1.30054754552745,,,,
,,,,,,gen qty mo,2011,,1.24967163857194,,,,
,,,,,,gen qty mo,2011,,1.24182123133387,,,,
,,,,,,gen qty mo,2011,,1.25491245188005,,,,
,,,,,,gen qty mo,2011,,1.23929753251211,,,,
,,,,,,gen qty mo,2011,,1.21907575751437,,,,
,,,,,,gen qty mo,2011,,1.22477108075474,,,,
,,,,,,gen qty mo,2011,,1.16831564557046,,,,
,,,,,,gen qty mo,2011,,1.18160304542529,,,,
,,,,,,gen qty mo,2012,,1.15887083461529,,,,
,,,,,,gen qty mo,2012,,1.15663906057624,,,,
,,,,,,gen qty mo,2012,,1.18856976578363,,,,
,,,,,,gen qty mo,2012,,1.25550678752669,,,,
,,,,,,gen qty mo,2012,,1.36147934125441,,,,
,,,,,,gen qty mo,2012,,1.44375094850927,,,,
,,,,,,gen qty mo,2012,,1.38952263177695,,,,
,,,,,,gen qty mo,2012,,1.38576833225978,,,,
,,,,,,gen qty mo,2012,,1.36194774436212,,,,
,,,,,,gen qty mo,2012,,1.30874541370429,,,,
,,,,,,gen qty mo,2012,,1.18758518114336,,,,
,,,,,,gen qty mo,2012,,1.17736918387953,,,,
,,,,,,gen qty mo,2013,,1.1726188576002,,,,
,,,,,,gen qty mo,2013,,1.08876682413997,,,,
,,,,,,gen qty mo,2013,,1.11192801106247,,,,
,,,,,,gen qty mo,2013,,1.12073165434736,,,,
,,,,,,gen qty mo,2013,,1.12061401928366,,,,
,,,,,,gen qty mo,2013,,1.09625627387429,,,,
,,,,,,gen qty mo,2013,,1.20343637564053,,,,
,,,,,,gen qty mo,2013,,1.23724802102299,,,,
,,,,,,gen qty mo,2013,,1.22500649733972,,,,
,,,,,,gen qty mo,2013,,1.26911395369089,,,,
,,,,,,gen qty mo,2013,,1.2955024766516,,,,
,,,,,,gen qty mo,2013,,1.27834451836664,,,,
,,,,,,gen qty mo,2014,,1.28591143517002,,,,
,,,,,,gen qty mo,2014,,1.2917290629329,,,,
,,,,,,gen qty mo,2014,,1.21941142454642,,,,
,,,,,,gen qty mo,2014,,1.27345197828268,,,,
,,,,,,gen qty mo,2014,,1.42009085849323,,,,
,,,,,,gen qty mo,2014,,1.44215652677038,,,,
,,,,,,gen qty mo,2014,,1.45397669036634,,,,
,,,,,,gen qty mo,2014,,1.44237196072432,,,,
,,,,,,gen qty mo,2014,,1.31720617918901,,,,
,,,,,,gen qty mo,2014,,1.32998414526807,,,,
,,,,,,gen qty mo,2014,,1.29232074673661,,,,
,,,,,,gen qty mo,2014,,1.29270108721881,,,,
,,,,,,gen qty mo,2015,,1.35026438937146,,,,
,,,,,,gen qty mo,2015,,1.34356958625743,,,,
,,,,,,gen qty mo,2015,,1.30939718926541,,,,
,,,,,,gen qty mo,2015,,1.39710418565143,,,,
,,,,,,gen qty mo,2015,,1.42640032639562,,,,
,,,,,,gen qty mo,2015,,1.44875824011357,,,,
,,,,,,gen qty mo,2015,,1.41730693144329,,,,
,,,,,,gen qty mo,2015,,1.46127781979536,,,,
,,,,,,gen qty mo,2015,,1.43696036233331,,,,
,,,,,,gen qty mo,2015,,1.33712207766447,,,,
,,,,,,gen qty mo,2015,,1.41574832122429,,,,
,,,,,,gen qty mo,2015,,1.393417031673,,,,
,,,,,,gen qty mo,2016,,1.42750587921606,,,,
,,,,,,gen qty mo,2016,,1.33152733892651,,,,
,,,,,,gen qty mo,2016,,1.38771407942419,,,,
,,,,,,gen qty mo,2016,,1.46000112674721,,,,
,,,,,,gen qty mo,2016,,1.46604237919357,,,,
,,,,,,gen qty mo,2016,,1.55462318066982,,,,
,,,,,,gen qty mo,2016,,1.53906953761823,,,,
,,,,,,gen qty mo,2016,,1.5591368566296,,,,
,,,,,,gen qty mo,2016,,1.55718827463967,,,,
